time	V(in)	V(out)
0.000000000000000e+00	0.000000e+00	5.000000e+00
5.000000000000000e-07	0.000000e+00	5.000000e+00
5.180000001944790e-07	1.800000e-02	4.999935e+00
5.540000005834372e-07	5.400000e-02	4.999570e+00
6.260000013613535e-07	1.260000e-01	4.997802e+00
7.700000029171861e-07	2.700000e-01	4.989741e+00
1.058000006028851e-06	5.580000e-01	4.955092e+00
1.500000000000000e-06	1.000000e+00	4.873299e+00
5.150000000000000e-05	1.000000e+00	4.872983e+00
5.155999058701840e-05	9.400094e-01	4.889389e+00
5.163997803637627e-05	8.600219e-01	4.908510e+00
5.179995293509200e-05	7.000471e-01	4.938615e+00
5.211990273252348e-05	3.800973e-01	4.976654e+00
5.250000000000000e-05	0.000000e+00	5.000115e+00
5.253800972674764e-05	0.000000e+00	5.000045e+00
5.261402918024295e-05	0.000000e+00	5.000004e+00
1.005000000000000e-04	0.000000e+00	5.000000e+00
1.005185146925583e-04	1.851469e-02	4.999950e+00
1.005432009493026e-04	4.320095e-02	4.999749e+00
1.005925734627913e-04	9.257346e-02	4.998866e+00
1.006913184897687e-04	1.913185e-01	4.995070e+00
1.008888085437234e-04	3.888085e-01	4.980814e+00
1.011050198920905e-04	6.050199e-01	4.951349e+00
1.015000000000000e-04	1.000000e+00	4.873175e+00
1.515000000000000e-04	1.000000e+00	4.872983e+00
1.515306034073728e-04	9.693966e-01	4.881596e+00
1.515918102221186e-04	9.081898e-01	4.897282e+00
1.517142238516100e-04	7.857761e-01	4.923543e+00
1.519590511105928e-04	5.409489e-01	4.966100e+00
1.520117187500000e-04	4.882812e-01	4.973130e+00
1.521170540288143e-04	3.829460e-01	4.982945e+00
1.522893294423712e-04	2.106706e-01	4.993310e+00
1.525000000000000e-04	2.986500e-14	5.000008e+00
2.005000000000000e-04	0.000000e+00	5.000000e+00
2.005471921271351e-04	4.719213e-02	4.999544e+00
2.006415763814053e-04	1.415764e-01	4.996944e+00
2.008303448899456e-04	3.303449e-01	4.984802e+00
2.011224629829193e-04	6.224630e-01	4.946822e+00
2.015000000000000e-04	1.000000e+00	4.873190e+00
2.515000000000000e-04	1.000000e+00	4.872983e+00
2.515761114403726e-04	9.238886e-01	4.893455e+00
2.516775933608695e-04	8.224066e-01	4.916430e+00
2.518805572018632e-04	6.194428e-01	4.952669e+00
2.520940723180126e-04	4.059277e-01	4.976624e+00
2.525000000000000e-04	0.000000e+00	5.000099e+00
2.525405927681988e-04	0.000000e+00	5.000041e+00
2.526217783045962e-04	0.000000e+00	5.000005e+00
3.005000000000000e-04	0.000000e+00	5.000000e+00
3.005120280077786e-04	1.202801e-02	4.999979e+00
3.005280653514835e-04	2.806535e-02	4.999895e+00
3.005601400388932e-04	6.014004e-02	4.999527e+00
3.006242894137126e-04	1.242894e-01	4.997965e+00
3.007525881633515e-04	2.525882e-01	4.991286e+00
3.010117187500000e-04	5.117188e-01	4.970738e+00
3.010471819731916e-04	5.471820e-01	4.966192e+00
3.010877113711248e-04	5.877114e-01	4.960435e+00
3.011687701669913e-04	6.687702e-01	4.946985e+00
3.013308877587243e-04	8.308877e-01	4.913845e+00
3.015000000000000e-04	1.000000e+00	4.872997e+00
3.515000000000000e-04	1.000000e+00	4.872983e+00
3.515956074812272e-04	9.043925e-01	4.898117e+00
3.517230841228633e-04	7.769158e-01	4.925179e+00
3.519780374061357e-04	5.219626e-01	4.968844e+00
3.520117187500000e-04	4.882812e-01	4.973354e+00
3.520790814377287e-04	4.209186e-01	4.980024e+00
3.522138068131860e-04	2.861932e-01	4.991166e+00
3.522305492490853e-04	2.694508e-01	4.992287e+00
3.522640341208839e-04	2.359659e-01	4.994023e+00
3.523310038644812e-04	1.689961e-01	4.996912e+00
3.523660605128055e-04	1.339395e-01	4.998024e+00
3.524361738094543e-04	6.382619e-02	4.999354e+00
3.525000000000001e-04	0.000000e+00	5.000000e+00
4.005000000000000e-04	0.000000e+00	5.000000e+00
4.005488281250000e-04	4.882812e-02	4.999511e+00
4.006464843750000e-04	1.464844e-01	4.996722e+00
4.008417968749999e-04	3.417969e-01	4.984126e+00
4.011093750000000e-04	6.093750e-01	4.949268e+00
4.015000000000000e-04	1.000000e+00	4.873197e+00
4.352890625000000e-04	1.000000e+00	4.872983e+00
4.515000000000000e-04	1.000000e+00	4.872983e+00
4.515292968750000e-04	9.707031e-01	4.881239e+00
4.515878906250000e-04	9.121094e-01	4.896338e+00
4.517050781250001e-04	7.949219e-01	4.921821e+00
4.519394531250002e-04	5.605469e-01	4.962843e+00
4.520312499999998e-04	4.687500e-01	4.974572e+00
4.522148437499990e-04	2.851562e-01	4.988298e+00
4.525000000000000e-04	0.000000e+00	5.000025e+00
4.525855468750003e-04	0.000000e+00	5.000002e+00
4.997707031250019e-04	0.000000e+00	5.000000e+00
5.000000000000000e-04	0.000000e+00	5.000000e+00
